2025-08-09 17:54:33.700 | INFO     | __main__:initialize_system_data:25 - ==================================================
2025-08-09 17:54:33.701 | INFO     | __main__:initialize_system_data:26 - 开始执行系统数据初始化...
2025-08-09 17:54:33.701 | INFO     | __main__:initialize_system_data:27 - 扫描简历目录: D:\LLM_Codes\Chapter3_RAG\app_new\data\resume
2025-08-09 17:54:33.701 | INFO     | utils.vector_store:_initialize_components:24 - 开始初始化向量存储及检索组件...
2025-08-09 17:54:42.141 | INFO     | utils.vector_store:_create_or_load_collection:57 - 集合 'resume_embeddings' 不存在，开始创建...
2025-08-09 17:54:42.142 | CRITICAL | utils.vector_store:_initialize_components:50 - 组件初始化失败: IndexParams.add_index() takes from 2 to 4 positional arguments but 6 were given
2025-08-09 17:54:42.143 | CRITICAL | __main__:initialize_system_data:42 - 初始化核心组件失败: IndexParams.add_index() takes from 2 to 4 positional arguments but 6 were given
2025-08-09 17:56:36.531 | INFO     | __main__:initialize_system_data:25 - ==================================================
2025-08-09 17:56:36.534 | INFO     | __main__:initialize_system_data:26 - 开始执行系统数据初始化...
2025-08-09 17:56:36.534 | INFO     | __main__:initialize_system_data:27 - 扫描简历目录: D:\LLM_Codes\Chapter3_RAG\app_new\data\resume
2025-08-09 17:56:36.534 | INFO     | utils.vector_store:_initialize_components:24 - 开始初始化向量存储及检索组件...
2025-08-09 17:56:43.903 | INFO     | utils.vector_store:_create_or_load_collection:57 - 集合 'resume_embeddings' 不存在，开始创建...
2025-08-09 17:56:43.904 | CRITICAL | utils.vector_store:_initialize_components:50 - 组件初始化失败: IndexParams.add_index() takes from 2 to 4 positional arguments but 6 were given
2025-08-09 17:56:43.904 | CRITICAL | __main__:initialize_system_data:42 - 初始化核心组件失败: IndexParams.add_index() takes from 2 to 4 positional arguments but 6 were given
2025-08-09 17:57:59.727 | INFO     | __main__:initialize_system_data:26 - ==================================================
2025-08-09 17:57:59.727 | INFO     | __main__:initialize_system_data:27 - 开始执行系统数据初始化...
2025-08-09 17:57:59.727 | INFO     | __main__:initialize_system_data:28 - 扫描简历目录: D:\LLM_Codes\Chapter3_RAG\app_new\data\resume
2025-08-09 17:57:59.727 | INFO     | utils.vector_store:_initialize_components:24 - 开始初始化向量存储及检索组件...
2025-08-09 17:58:08.024 | INFO     | utils.vector_store:_create_or_load_collection:57 - 集合 'resume_embeddings' 不存在，开始创建...
2025-08-09 17:58:08.024 | CRITICAL | utils.vector_store:_initialize_components:50 - 组件初始化失败: IndexParams.add_index() takes from 2 to 4 positional arguments but 6 were given
2025-08-09 17:58:08.024 | CRITICAL | __main__:initialize_system_data:43 - 初始化核心组件失败: IndexParams.add_index() takes from 2 to 4 positional arguments but 6 were given
2025-08-09 18:01:55.005 | INFO     | __main__:initialize_system_data:26 - ==================================================
2025-08-09 18:01:55.005 | INFO     | __main__:initialize_system_data:27 - 开始执行系统数据初始化...
2025-08-09 18:01:55.005 | INFO     | __main__:initialize_system_data:28 - 扫描简历目录: D:\LLM_Codes\Chapter3_RAG\app_new\data\resume
2025-08-09 18:01:55.005 | INFO     | utils.vector_store:_initialize_components:24 - 开始初始化向量存储及检索组件...
2025-08-09 18:02:04.244 | INFO     | utils.vector_store:_create_or_load_collection:55 - 集合 'resume_embeddings' 不存在，开始创建...
2025-08-09 18:02:04.245 | CRITICAL | __main__:initialize_system_data:43 - 初始化核心组件失败: "'auto_id'"
2025-08-09 18:15:14.936 | INFO     | __main__:initialize_system_data:26 - ==================================================
2025-08-09 18:15:14.936 | INFO     | __main__:initialize_system_data:27 - 开始执行系统数据初始化...
2025-08-09 18:15:14.936 | INFO     | __main__:initialize_system_data:28 - 扫描简历目录: D:\LLM_Codes\Chapter3_RAG\app_new\data\resume
